k,accuracy,coverage,correct,unknown,avg_latency_ms
1,0.7326,0.7442,63,22,30.666
2,0.7326,0.7442,63,22,27.397
3,0.7326,0.7442,63,22,28.142
5,0.7326,0.7442,63,22,27.948
