threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.1013,0.0,1.0,0.1013,0.1839,0.1798,1.0,0.093,8,0,71,7,30.967
0.2,0.1519,0.0,1.0,0.1519,0.2637,0.2581,1.0,0.1395,12,0,67,7,26.589
0.3,0.2911,0.0,1.0,0.2911,0.451,0.4423,1.0,0.2674,23,0,56,7,26.089
0.4,0.2911,0.0,1.0,0.2911,0.451,0.4423,1.0,0.2674,23,0,56,7,26.692
0.5,0.3797,0.0,1.0,0.3797,0.5505,0.5405,1.0,0.3488,30,0,49,7,26.445
0.6,0.4937,0.0,1.0,0.4937,0.661,0.65,1.0,0.4535,39,0,40,7,26.431
0.7,0.6329,0.0,1.0,0.6329,0.7752,0.7634,1.0,0.5814,50,0,29,7,26.248
0.8,0.7975,0.1429,0.9844,0.7975,0.8811,0.869,0.9844,0.7442,63,1,16,6,26.518
0.9,0.8608,0.2857,0.9714,0.8608,0.9128,0.9007,0.9714,0.814,68,2,11,5,26.388
1.0,0.9494,0.2857,0.974,0.9494,0.9615,0.9494,0.974,0.8953,75,2,4,5,26.101
1.1,1.0,0.4286,0.9634,1.0,0.9814,0.9693,0.9634,0.9535,79,3,0,4,29.899
1.2,1.0,0.5714,0.9518,1.0,0.9753,0.9756,0.9639,0.9651,79,4,0,3,33.365
1.5,1.0,0.8571,0.9294,1.0,0.9634,0.9759,0.9529,0.9884,79,6,0,1,33.582
