threshold,tpr,fpr,precision,recall,f1,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.0988,0.0,1.0,0.0988,0.1798,0.093,8,0,73,5,182.053
0.2,0.1481,0.0,1.0,0.1481,0.2581,0.1395,12,0,69,5,183.548
0.3,0.284,0.0,1.0,0.284,0.4423,0.2674,23,0,58,5,176.587
0.4,0.284,0.0,1.0,0.284,0.4423,0.2674,23,0,58,5,197.306
0.5,0.3704,0.0,1.0,0.3704,0.5405,0.3488,30,0,51,5,192.413
0.6,0.4815,0.0,1.0,0.4815,0.65,0.4535,39,0,42,5,195.24
0.7,0.6173,0.0,1.0,0.6173,0.7634,0.5814,50,0,31,5,191.0
0.8,0.7778,0.2,0.9844,0.7778,0.869,0.7442,63,1,18,4,189.42
