threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.0922,0.008,0.963,0.0922,0.1683,0.1566,0.963,0.0663,26,1,256,124,27.001
0.2,0.2518,0.08,0.8765,0.2518,0.3912,0.3834,0.9136,0.199,71,10,211,115,29.962
0.3,0.5461,0.352,0.7778,0.5461,0.6417,0.6402,0.8131,0.4865,154,44,128,81,33.649
0.4,0.7979,0.768,0.7009,0.7979,0.7463,0.7732,0.7539,0.7887,225,96,57,29,31.671
0.5,0.9645,0.944,0.6974,0.9645,0.8095,0.8432,0.7513,0.9582,272,118,10,7,31.75
0.6,0.9929,0.976,0.6965,0.9929,0.8187,0.8543,0.7512,0.9877,280,122,2,3,31.862
0.7,0.9965,1.0,0.6921,0.9965,0.8169,0.8551,0.7488,0.9975,281,125,1,0,32.192
0.8,1.0,1.0,0.6929,1.0,0.8186,0.8567,0.7494,1.0,282,125,0,0,32.165
0.9,1.0,1.0,0.6929,1.0,0.8186,0.8567,0.7494,1.0,282,125,0,0,32.909
1.0,1.0,1.0,0.6929,1.0,0.8186,0.8567,0.7494,1.0,282,125,0,0,32.448
1.2,1.0,1.0,0.6929,1.0,0.8186,0.8567,0.7494,1.0,282,125,0,0,32.824
1.5,1.0,1.0,0.6929,1.0,0.8186,0.8567,0.7494,1.0,282,125,0,0,33.32
