threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.7429,0.0,1.0,0.7429,0.8525,0.5235,0.481,0.7101,289,0,100,18,275.366
0.2,0.7584,0.0,1.0,0.7584,0.8626,0.54,0.4915,0.7248,295,0,94,18,400.906
0.3,0.7943,0.0,1.0,0.7943,0.8854,0.5735,0.5113,0.7592,309,0,80,18,413.873
0.4,0.7969,0.0,1.0,0.7969,0.887,0.5761,0.5129,0.7617,310,0,79,18,332.391
0.5,0.8149,0.0,1.0,0.8149,0.898,0.5939,0.5237,0.7789,317,0,72,18,338.254
0.6,0.8586,0.1111,0.994,0.8586,0.9214,0.6367,0.5476,0.8256,334,2,55,16,343.647
0.7,0.8946,0.1111,0.9943,0.8946,0.9418,0.6689,0.5657,0.86,348,2,41,16,410.639
0.8,0.9357,0.3333,0.9838,0.9357,0.9592,0.6993,0.5784,0.9091,364,6,25,12,337.26
0.9,0.9717,0.5,0.9767,0.9717,0.9742,0.7281,0.5917,0.9509,378,9,11,9,340.895
1.0,0.9871,0.6111,0.9722,0.9871,0.9796,0.7378,0.5949,0.9705,384,11,5,7,337.366
1.2,0.9974,0.8333,0.9628,0.9974,0.9798,0.7442,0.5955,0.9902,388,15,1,3,389.988
1.5,1.0,1.0,0.9558,1.0,0.9774,0.7458,0.5946,1.0,389,18,0,0,348.245
