threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.0988,0.0,1.0,0.0988,0.1798,0.1778,1.0,0.093,8,0,73,5,29.305
0.2,0.1481,0.0,1.0,0.1481,0.2581,0.2553,1.0,0.1395,12,0,69,5,26.848
0.3,0.284,0.0,1.0,0.284,0.4423,0.4381,1.0,0.2674,23,0,58,5,28.299
0.4,0.284,0.0,1.0,0.284,0.4423,0.4381,1.0,0.2674,23,0,58,5,31.308
0.5,0.3704,0.0,1.0,0.3704,0.5405,0.5357,1.0,0.3488,30,0,51,5,33.448
0.6,0.4815,0.0,1.0,0.4815,0.65,0.6446,1.0,0.4535,39,0,42,5,33.878
0.7,0.6173,0.0,1.0,0.6173,0.7634,0.7576,1.0,0.5814,50,0,31,5,33.578
0.8,0.7778,0.2,0.9844,0.7778,0.869,0.863,0.9844,0.7442,63,1,18,4,32.818
0.9,0.8395,0.4,0.9714,0.8395,0.9007,0.8947,0.9714,0.814,68,2,13,3,32.489
1.0,0.9259,0.4,0.974,0.9259,0.9494,0.9434,0.974,0.8953,75,2,6,3,32.526
1.1,0.9753,0.6,0.9634,0.9753,0.9693,0.9634,0.9634,0.9535,79,3,2,2,33.686
1.2,0.9877,0.8,0.9524,0.9877,0.9697,0.9759,0.9643,0.9767,80,4,1,1,34.185
1.5,0.9877,1.0,0.9412,0.9877,0.9639,0.9701,0.9529,0.9884,80,5,1,0,34.246
