threshold,tpr,fpr,precision,recall,f1,action_f1,action_precision,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.1,0.1,0.0,1.0,0.1,0.1818,0.1798,1.0,0.093,8,0,72,6,28.662
0.2,0.15,0.0,1.0,0.15,0.2609,0.2581,1.0,0.1395,12,0,68,6,24.593
0.3,0.2875,0.0,1.0,0.2875,0.4466,0.4423,1.0,0.2674,23,0,57,6,25.687
0.4,0.2875,0.0,1.0,0.2875,0.4466,0.4423,1.0,0.2674,23,0,57,6,26.247
0.5,0.375,0.0,1.0,0.375,0.5455,0.5405,1.0,0.3488,30,0,50,6,27.729
0.6,0.4875,0.0,1.0,0.4875,0.6555,0.65,1.0,0.4535,39,0,41,6,28.998
0.7,0.625,0.0,1.0,0.625,0.7692,0.7634,1.0,0.5814,50,0,30,6,32.438
0.8,0.7875,0.1667,0.9844,0.7875,0.875,0.869,0.9844,0.7442,63,1,17,5,32.697
0.9,0.85,0.3333,0.9714,0.85,0.9067,0.9007,0.9714,0.814,68,2,12,4,33.016
1.0,0.9375,0.3333,0.974,0.9375,0.9554,0.9494,0.974,0.8953,75,2,5,4,33.337
1.1,0.9875,0.5,0.9634,0.9875,0.9753,0.9693,0.9634,0.9535,79,3,1,3,33.855
1.2,1.0,0.6667,0.9524,1.0,0.9756,0.9818,0.9643,0.9767,80,4,0,2,34.31
1.5,1.0,0.8333,0.9412,1.0,0.9697,0.9759,0.9529,0.9884,80,5,0,1,34.238
