threshold,tpr,fpr,precision,recall,f1,l1_hit_rate,tp,fp,fn,tn,avg_latency_ms
0.5,0.3704,0.0,1.0,0.3704,0.5405,0.3488,30,0,51,5,35.501
0.55,0.4074,0.0,1.0,0.4074,0.5789,0.3837,33,0,48,5,27.109
0.6,0.4815,0.0,1.0,0.4815,0.65,0.4535,39,0,42,5,27.365
0.65,0.5432,0.0,1.0,0.5432,0.704,0.5116,44,0,37,5,28.208
0.7,0.6173,0.0,1.0,0.6173,0.7634,0.5814,50,0,31,5,27.829
0.75,0.716,0.2,0.9831,0.716,0.8286,0.686,58,1,23,4,28.391
0.8,0.7778,0.2,0.9844,0.7778,0.869,0.7442,63,1,18,4,28.07
0.85,0.8272,0.2,0.9853,0.8272,0.8993,0.7907,67,1,14,4,27.971
0.9,0.8395,0.4,0.9714,0.8395,0.9007,0.814,68,2,13,3,30.109
