scale,accuracy,coverage,avg_latency_ms
50,0.0541,0.0639,27.347
100,0.086,0.1007,32.794
200,0.1327,0.1794,32.548
300,0.1843,0.2359,32.496
500,0.2457,0.2998,34.159
700,0.3194,0.398,33.974
900,0.3686,0.4742,34.467
1016,0.3784,0.4865,36.349
