k,accuracy,coverage,correct,unknown,avg_latency_ms
1,0.7326,0.7442,63,22,169.371
2,0.7326,0.7442,63,22,168.13
3,0.7326,0.7442,63,22,168.795
5,0.7326,0.7442,63,22,169.276
