window_sec,event_count,processed_same,defense_rate_pct,different_errors_total,different_errors_passed,miss_rate_pct
1,20,18,10.0,3,3,0.0
3,20,15,25.0,3,3,0.0
5,20,15,25.0,3,3,0.0
10,20,11,45.0,3,3,0.0
30,20,5,75.0,3,3,0.0
