k,accuracy,action_accuracy,f1,coverage,correct,unknown,avg_latency_ms
1,0.688,0.742,0.8211,0.9877,280,5,27.191
2,0.688,0.742,0.8211,0.9877,280,5,31.648
3,0.7125,0.7617,0.8382,0.9877,290,5,31.356
5,0.7346,0.7862,0.8531,0.9877,299,5,31.412
